support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
10,200,20,80,83.74,91.15,91.15
10,200,20,90,79.44,88.54,88.54
100,200,20,0,83.91,91.25,91.25
100,200,20,10,87.22,93.17,93.17
100,200,20,20,80.91,89.45,89.45
100,200,20,30,82.02,90.12,90.12
100,200,20,40,86.64,92.84,92.84
100,200,20,50,87.83,93.52,93.52
100,200,20,60,87.47,93.31,93.31
100,200,20,70,87.94,93.58,93.58
100,200,20,80,87.28,93.21,93.21
100,200,20,90,87.37,93.26,93.26
200,200,20,0,79.47,88.56,88.56
200,200,20,10,84.82,91.79,91.79
200,200,20,20,83.08,90.76,90.76
200,200,20,30,88.94,94.15,94.15
200,200,20,40,87.84,93.53,93.53
200,200,20,50,87.85,93.53,93.53
200,200,20,60,85.31,92.07,92.07
200,200,20,70,85.49,92.18,92.18
200,200,20,80,85.65,92.27,92.27
200,200,20,90,85.41,92.13,92.13
500,200,20,0,82.16,90.21,90.21
500,200,20,10,80.23,89.03,89.03
500,200,20,20,85.47,92.17,92.17
500,200,20,30,85.3,92.07,92.07
500,200,20,40,85.01,91.9,91.9
500,200,20,50,88.22,93.74,93.74
500,200,20,60,86.77,92.92,92.92
500,200,20,70,89.81,94.63,94.63
500,200,20,80,87.55,93.36,93.36
500,200,20,90,87.6,93.39,93.39
10,200,30,0,83.72,91.14,91.14
10,200,30,10,84.24,91.45,91.45
10,200,30,20,85.19,92.01,92.01
10,200,30,30,85.01,91.9,91.9
10,200,30,40,86.59,92.81,92.81
10,200,30,50,85.47,92.16,92.16
10,200,30,60,86.14,92.55,92.55
10,200,30,70,84.81,91.78,91.78
10,200,30,80,83.8,91.19,91.19
10,200,30,90,84.39,91.54,91.54
100,200,30,0,84.44,91.56,91.56
100,200,30,10,87.66,93.43,93.43
100,200,30,20,86.66,92.85,92.85
100,200,30,30,86.38,92.69,92.69
100,200,30,40,88.24,93.75,93.75
100,200,30,50,85.03,91.91,91.91
100,200,30,60,87.31,93.22,93.22
100,200,30,70,84.62,91.67,91.67
100,200,30,80,84.98,91.88,91.88
100,200,30,90,87.65,93.42,93.42
200,200,30,0,84.34,91.51,91.51
200,200,30,10,84.7,91.71,91.71
200,200,30,20,84.27,91.46,91.46
200,200,30,30,86.56,92.79,92.79
200,200,30,40,83.96,91.28,91.28
200,200,30,50,86.84,92.96,92.96
200,200,30,60,85.35,92.1,92.1
200,200,30,70,86.87,92.97,92.97
200,200,30,80,83.99,91.3,91.3
200,200,30,90,88.06,93.65,93.65
500,200,30,0,85.93,92.43,92.43
500,200,30,10,87.63,93.41,93.41
500,200,30,20,82.28,90.28,90.28
500,200,30,30,86.0,92.47,92.47
500,200,30,40,86.12,92.54,92.54
500,200,30,50,86.52,92.77,92.77
500,200,30,60,86.07,92.51,92.51
500,200,30,70,87.66,93.43,93.43
500,200,30,80,87.63,93.41,93.41
500,200,30,90,85.47,92.16,92.16
10,200,40,0,84.49,91.59,91.59
10,200,40,10,87.49,93.33,93.33
10,200,40,20,84.39,91.53,91.53
10,200,40,30,85.23,92.03,92.03
10,200,40,40,86.4,92.71,92.71
10,200,40,50,86.18,92.58,92.58
10,200,40,60,86.22,92.6,92.6
10,200,40,70,84.27,91.46,91.46
10,200,40,80,83.98,91.29,91.29
10,200,40,90,85.26,92.04,92.04
100,200,40,0,84.48,91.59,91.59
100,200,40,10,85.11,91.96,91.96
100,200,40,20,86.3,92.65,92.65
100,200,40,30,84.22,91.44,91.44
100,200,40,40,85.18,92.0,92.0
100,200,40,50,82.74,90.56,90.56
100,200,40,60,87.8,93.5,93.5
100,200,40,70,87.67,93.43,93.43
100,200,40,80,86.98,93.03,93.03
100,200,40,90,87.11,93.11,93.11
200,200,40,0,82.87,90.63,90.63
200,200,40,10,80.1,88.95,88.95
200,200,40,20,86.43,92.72,92.72
200,200,40,30,87.94,93.58,93.58
200,200,40,40,85.15,91.98,91.98
200,200,40,50,85.63,92.26,92.26
200,200,40,60,86.65,92.85,92.85
200,200,40,70,77.65,87.42,87.42
200,200,40,80,85.28,92.06,92.06
200,200,40,90,86.43,92.72,92.72
500,200,40,0,85.25,92.04,92.04
500,200,40,10,80.57,89.24,89.24
500,200,40,20,86.8,92.94,92.94
500,200,40,30,86.82,92.94,92.94
500,200,40,40,86.43,92.72,92.72
500,200,40,50,86.25,92.62,92.62
500,200,40,60,87.44,93.3,93.3
500,200,40,70,85.13,91.97,91.97
500,200,40,80,88.4,93.84,93.84
